Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:04<00:12,  4.05s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:14<00:15,  7.87s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:18<00:06,  6.23s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:26<00:00,  6.73s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:26<00:00,  6.59s/it]
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-0", "final_pass_at_1": 1.0, "initial_passes": 2, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/0"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-1", "final_pass_at_1": 1.0, "initial_passes": 3, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/1"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-2", "final_pass_at_1": 1.0, "initial_passes": 2, "round_pass_at_1": [1.0, 1.0, 0.0, 0.0], "task_id": "HumanEval/2"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-3", "final_pass_at_1": 1.0, "initial_passes": 1, "round_pass_at_1": [0.0, 1.0, 0.0, 0.0], "task_id": "HumanEval/3"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-4", "final_pass_at_1": 1.0, "initial_passes": 1, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/4"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-5", "final_pass_at_1": 1.0, "initial_passes": 3, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/5"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-6", "final_pass_at_1": 1.0, "initial_passes": 1, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/6"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-7", "final_pass_at_1": 1.0, "initial_passes": 3, "round_pass_at_1": [0.0, 0.0, 1.0, 0.0], "task_id": "HumanEval/7"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-8", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/8"}
{"artifact": "/dev/shm/pbpf-additional/evalplus_repair_164_shard0/HumanEval-9", "final_pass_at_1": 0.0, "initial_passes": 0, "round_pass_at_1": [0.0, 0.0, 0.0, 0.0], "task_id": "HumanEval/9"}
